TestSmell,Precision,Precision_CI_Lower,Precision_CI_Upper,Recall,Recall_CI_Lower,Recall_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper
AssertionRoulette,0.9444444444444444,0.8771862348178138,1.0,0.6986301369863014,0.5843885281385282,0.8030764966740576,0.8031496062992126,0.718729967948718,0.8750184911242603
ConditionalTestLogic,1.0,1.0,1.0,0.9772727272727273,0.9230769230769231,1.0,0.9885057471264368,0.96,1.0
DuplicateAssert,0.32894736842105265,0.2272610121836926,0.4459913271480435,0.8333333333333334,0.6785426267281106,0.9583333333333334,0.4716981132075472,0.3516483516483517,0.5873511904761904
EmptyTest,0.9565217391304348,0.8499621212121212,1.0,1.0,1.0,1.0,0.9777777777777777,0.9188967656180772,1.0
IgnoredTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MagicNumberTest,0.8536585365853658,0.7390732265446224,0.9524350649350648,0.7446808510638298,0.625,0.8600116279069767,0.7954545454545454,0.6965604219215777,0.8775634644101543
RedundantPrint,1.0,1.0,1.0,0.9714285714285714,0.90625,1.0,0.9855072463768116,0.9508196721311475,1.0
SleepyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UnknownTest,0.975609756097561,0.918918918918919,1.0,0.8333333333333334,0.7254901960784313,0.9362034574468086,0.898876404494382,0.8297322083639032,0.9565523576240049
