Language,Precision,Precision_CI_Lower,Precision_CI_Upper,Recall,Recall_CI_Lower,Recall_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper
java,0.9731051344743277,0.9571383363471971,0.9872781609640796,0.9851485148514851,0.972832732982359,0.9953161592505855,0.9790897908979089,0.9689412761151892,0.9882935628837268,0.9897590361445783,0.9849397590361446,0.9939759036144579
python,0.9845758354755784,0.9714988800734025,0.9949370285129778,0.964735516372796,0.946381663662117,0.9815861058085629,0.9745547073791349,0.9626745547390708,0.9847858581446701,0.9879518072289156,0.9825301204819277,0.9927710843373494
csharp,0.9770773638968482,0.9603393812671432,0.9911777605779154,0.96875,0.9490070098427039,0.9858767008832656,0.9728958630527818,0.9594757033248082,0.9840458059084647,0.9872824631860776,0.9812583668005355,0.9926372155287818
javascript,0.9830508474576272,0.9692706912151197,0.9948862054453042,0.9712918660287081,0.9534219649288143,0.9867834815085454,0.9771359807460891,0.9657680737331606,0.9871645274212368,0.9885542168674699,0.983132530120482,0.9933734939759036
typescript,0.9776674937965261,0.9621188147295743,0.9917593676814989,0.9516908212560387,0.9305194554034192,0.9710895255663804,0.9645042839657283,0.9523780381185522,0.976806653413014,0.9825301204819277,0.9765060240963855,0.9885542168674699
